16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,856;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;4;B30;500540642;Mittlerer Längsträger li kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549877;Laengstraeger innen li;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W05;500552265;Traegerplatte;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;3;W05;500549891;Verbindungselement links Laengstr.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;481;W90;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,392;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,694;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;5;B30;500540643;Mittlerer Längsträger re kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549879;Laengstraeger innen re;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W05;500552265;Traegerplatte;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;3;W05;500549892;Verbindungselement rechts Laengstr.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;481;W90;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,392;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,694;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;6;W05;500554722;Quertraeger kurz li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;7;W05;500554723;Quertraeger kurz re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;8;B30;500540644;Aeusserer Laengstraeger li kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549887;Aussentraeger links;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W09;500213250;Schweissm. M10 DIN929-A4;5;ST;X;;86;88;S4BS;SP;W-FIN001M;1;ND;F;ROH
;5;3;W09;500206951;Schweissm.M8 DIN929-A4;2;ST;X;;86;88;S4BS;SP;72884;1;ND;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;7;ST;X;1;86;88;S4BS;SP;72884;1;PD;F;KBEI
