Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0052;500579049;Trennsteg TPS 75x1200;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0053;500579159;Trennsteg TPS 75x2600 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0054;500579096;Trennsteg TPS 75x1920 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0055;500579095;Trennsteg TPS 50x1600 Edelstahl;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0056;500579155;Trennsteg TPS 50x1000 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0057;500576306;Kanalverbinder;      8;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0059;500577104;U-Profil M16;     24;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0060;500595073;Sicherheitsbügel 125x75 V2A;     20;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;75417;W05;
 3;0061;815001568;Befestigungsclip-Edelstahl;     36;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0062;500572085;Kabelhalter;      7;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76887;W05;
 3;0063;500606137;Rohrerdung;      6;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76887;W05;
 3;0064;700009933;Schlauchschelle A-16-27x9 DIN3017-W4;      6;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76887;W11;
 3;0099;500446817;Anschlussarmatur NKNH-M207-10: PMA;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W12;X
 3;0100;500453761;Anschlussarmatur NKNH-M160-10: PMA;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W11;X
 3;0101;500188244;Verschlussschr.M25x1,5 87225/6k Ms.vern.;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0102;500188245;Verschlussschr.M32x1,5 87232/6k Ms.vern.;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0103;500561140;Anschlussarmatur 45° BKAH-M323: PMA;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W11;
 3;0104;500446819;Anschlussarmatur NKNH-M253-11: PMA;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W11;X
 3;0105;500446818;Anschlussarmatur NKNH-M257-11: PMA;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W11;X
 3;0106;500447001;Anschlussarmatur NKNH-M329-13: PMA;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W11;X
 3;0108;500447000;Anschlussarmatur NKNH-M323-13: PMA;      9;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W11;X
 3;0109;500558315;Anschlussarmatur BKNH-M253-23: PMA;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W02;X
 3;0110;500585534;Kanalabdeckung C02 125x3000 Edelst. P018;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0111;500585535;Kanalabdeckung C02 125x3000 Edelst. spg;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0118;500175553;Gegenm.M32x1,5 232/5 Ms,vern.;     11;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W04;X
 3;0123;815001290;Sperrkantscheibe SKM-4-NrFSt (A4);      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0124;500192217;Flachdichtung M20 Di20 Da25 1dick PTFE;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0124;500481980;Sechskantschr.M4x16 ISO4017-A4-70;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0125;500272603;Sicherungsscheibe S6 Schnorr;      7;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0130;500219244;Einsatz E154p18 TPE-V natur;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W02;X
 3;0131;500176329;Einsatz E154p20 TPE-V natur;      6;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W11;X
 3;0132;500586113;Einsatz EK155p25 TPE-V natur;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0190;500175651;Reduktion M32x1,5/M25x1,5;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W04;X
 3;0191;500177063;Reduktion M25x1,5 - M16x1,5;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W02;X
 3;0215;500576310;Flanschplatte;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
