Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 4;0020;LV3992554;Adapterplatte Bl 16Ax78x82 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0022;700031090;Zylinderschr.M6x12 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0023;700034721;Zylinderschr.M5x16 ISO4762-A2-70;      7;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0024;815001289;Sperrkantscheibe SKM-5-NrFSt (A4);      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0025;63820023S;Dichtung 6x78x74 Zellkautschuk eins.sk;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W11;
 4;0026;700024686;Zylinderschr.M6x16 ISO4762-A2-70;     15;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0027;700026622;Zylinderschr.M6x20 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0028;700024015;Zylinderschr.M8x20 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0029;500338323;Gewindeplatte M8 GWP40/22 A4;      4;ST;86;SP;001;PD;F;ROH;;88;;75266;W11;
 4;0030;815001288;Sperrkantscheibe SKM-6-NrFst (A4);     27;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0031;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0032;700019595;Sechskantm.M6 ISO4032-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0033;500371898;Halbrundkopfschr.M6x12 ISO7380-2-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0034;500400097;Zylinder-shr BN11252 M6x16-A2;      6;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0035;500153261;Käfigmutter M6 (1,7-2,5)-A2/A2;      9;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0036;500143654;Käfigm.M6-RR-083-35-A2/A2;      2;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0040;700025966;Kantenschutz GHE4610026 weißgrau;  0,150;M;86;SP;001;PD;F;ROH;1;88;;75266;W05;
 4;0011;500340296;Loctite 243 Schraubensicherung;  0,019;KG;86;SP;001;PD;F;ROH;1;88;;W-VIE001;W09;
 4;0043;500565454;Zellschaumband 20x5 AMCO AM M162;  0,600;M;86;SP;001;PD;F;ROH;1;88;;75266;W02;
 4;0046;500325708;Klebstoff Terostat MS 935 grau 290ml;  0,001;KG;86;SP;001;PD;F;ROH;1;88;;75266;W09;
 4;0049;65000928S;Filz  1.3x30;  0,170;M;86;SP;001;PD;F;ROH;1;88;;75266;W02;
 4;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;;75134;W09;
 4;0051;500374453;Blindnietm.M5 23306050030:Böllhoff;      3;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0052;700043655;Zylinderschraube M6x25 DIN7984-A2-70;      6;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0053;700026441;Scheibe 6,4 DIN9021-140HV-A2;      6;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0054;LV3992592;Gummidichtung 15x40x1650 EPDM;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W11;
 4;0055;500158279;Käfigm.M6-RR-083-16-A2/A2;      2;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 3;0003;500600550;Tuersaulen-Vkl I rechts Einbau B7;      3;ST;86;SP;200;PD;E;HALB;;;;75273;;
 4;0001;500600551;Tuersaeulen-Vkl I fest rechts kpl;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0002;LV399979SE;Tuersaeulenverk. abnehmbar I rechts kpl.;      1;ST;86;SP;200;PD;E;HALB;1;15;;75266;;
