Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0005;650010411;Sechskantm.M8 ISO4032-A4-80;      8;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0007;500057305;Sperrkantscheibe SKB-8-NrFSt;     16;ST;86;SP;001;ND;F;ROH;;88;M4FL;76280;W09;X
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
 2;0011;571617CM1;Anbau Ablagefach CM DR;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500586583;Ablagefach vlst;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500447685;Schnappverschluss;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W02;X
 3;0003;500471188;Distanzring fuer Schnappverschluss;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W09;
 3;0004;500586569;Winkel Schloss;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W05;
 3;0005;700034721;Zylinderschr.M5x16 ISO4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0006;815001289;Sperrkantscheibe SKM-5-NrFSt (A4);      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0007;500498609;Beilage Bl 1x25x70 ISO9445;      2;ST;86;SP;100;PD;F;HALB;;88;M4FL;W-FZU001;W05;
 3;0008;500358743;Halbrundkopfschr.M4x8 ISO7380-2-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0009;500586572;Vollauszug TSNEW L=200mm;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W02;
 3;0010;500519388;Beilage Bl 1x30x30 EN485-4          P001;     12;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W10;X
 3;0011;500179452;Halbrundkopfschr.M4x16 ISO7380-2-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0012;700019583;Sechskantm.M4 ISO4032-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0013;815001290;Sperrkantscheibe SKM-4-NrFSt (A4);      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0001;500555088;Loctite 290 (50 ml);  0,007;L;86;SP;001;PD;F;ROH;1;88;M4FL;W-VIE001;W09;
 2;0012;572371CM1;Layout Haltestangen CM 1;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500580189;Fensterschutzstange CM1 7 KPL;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500523835;Senkschr.M10x50-ISO10642-A4-80;      4;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W02;X
 3;0003;500525095;Scheibe f. Senkschr.M10 INOX A4;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W02;X
 3;0004;815001288;Sperrkantscheibe SKM-6-NrFst (A4);      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0005;700014189;Sechskantschr.M6x25 ISO4017-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
