Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
5;7;500539144;Vertikaler Traeger li.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;8;500539142;Vertikaler Traeger re.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;9;500539141;Rippe Brustgurt li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;10;500539140;Rippe Brustgurt re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;11;500552799;Gurtöse;8;ST;86;88;SP;1;PD;F;ROH;S4BS;71429;W05;
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,182;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;4,150;M;86;88;SP;1;PD;F;KBEI;S4BS;74771;W90;X
5;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,088;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;443;500439259;Kehlnaht z4 EN15085-3 CPC2 G199L;    0,190;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
5;462;500440391;V-Naht 4 EN15085-3 CPC2 G199L;    0,830;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;3,078;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
5;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;1,984;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
5;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,283;M;86;88;SP;1;PD;F;KBEI;S4BS;74771;W90;X
5;553;500429309;Lochnaht 5 EN15085-3 CPC2 G199L;16;ST;86;88;SP;1;PD;F;KBEI;S4BS;71429;;X
5;568;500443979;Dreiblechnaht 4 EN15085-3 CPC2 G199L;    0,488;M;86;88;SP;1;PD;F;KBEI;S4BS;74771;;X
4;1;500533404;Quertraeger UB CM1 kpl.;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
5;1;500541004;Quertraeger Wagenkasten CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;2;500541005;Flanschplatte unten;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;1219;500437706;Kehlnaht a4 EN15085-3 CPC2 G2293NL;1,387;M;86;88;SP;1;PD;F;KBEI;S4BS;71973;;X
5;1266;500438151;HV-Naht 5 EN15085-3 CPC2 G2293NL;    0,196;M;86;88;SP;1;PD;F;KBEI;S4BS;71973;W90;X
5;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;1,387;M;86;88;SP;1;PD;F;KBEI;S4BS;71973;W90;X
5;1335;500441489;Gegenlage EN15085-3 CPC2 G2293NL;    0,196;M;86;88;SP;1;PD;F;KBEI;S4BS;71973;W90;X
4;2;500533402;Aeusserer Laengstraeger CM1 Li;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
5;1;500541006;Aesserer Langtraeger CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;2;500541007;Rippe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,190;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,060;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
4;3;500541043;Laengstraeger 2 Li CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;4;500541041;Laengstraeger 1 Li CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;5;500541908;Traeger Klebeauflage CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;6;500541042;Laengstraeger 1 Re CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
