Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ÄndNr;ArbPlatz;EKG;SchGut
6;1302;500434859;HY-Naht 5 EN15085-3 CPC2 G2293NL;    0,468;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;1304;500437704;HY-Naht 7 EN15085-3 CPC2 G2293NL;    0,597;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;5;500566696;Befestigungslasche;1;ST;86;SP;1;PD;F;ROH;;88;73053;S4BS;W05;
5;7;500206951;Schweissm.M8 DIN929-A4;8;ST;86;SP;1;ND;F;ROH;;88;73053;S4BS;W09;X
5;8;500362090;Erdungslasche D11 Bl 5x30x45 ISO9445;1;ST;86;SP;100;PD;F;HALB;;88;72431;S4BS;W05;
5;9;500336097;Schweissm.M5 DIN929-A4;3;ST;86;SP;1;PD;F;ROH;;88;72884;S4BS;W09;
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;11;ST;86;SP;1;PD;F;KBEI;1;88;73053;S4BS;W90;X
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,034;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,659;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,130;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,085;M;86;SP;1;PD;F;KBEI;1;88;73053;S4BS;W90;X
5;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,192;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;485;500550715;HV-Naht 8 EN15085-3 CPC2 G199L;    0,314;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;1,066;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;522;500443683;HY-Naht 7 EN15085-3 CPC2 G199L;1,177;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,930;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;1218;500434910;Kehlnaht a3 EN15085-3 CPC2 G2293NL;    0,070;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
5;1300;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;    0,504;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
