Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;R;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
 6;0442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,268;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71404;W90;X
 6;0452;500440390;Doppel-KN a4 EN15085-3 CPC2 G199L;    0,330;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;W90;X
 6;0482;500440392;HV-Naht 5 EN15085-3 CPC2 G199L;    0,240;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 6;0517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;    0,294;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 6;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    7,070;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;W90;X
 6;0522;500443683;HY-Naht 7 EN15085-3 CPC2 G199L;    0,611;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 6;1221;500436620;Kehlnaht a6 EN15085-3 CPC2 G2293NL;    0,560;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;;X
 6;1238;500438158;Doppel-KN a4 EN15085-3 CPC2 G2293NL;    0,154;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;W90;X
 6;1239;500438159;Doppel-KN a5 EN15085-3 CPC2 G2293NL;    0,760;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;;X
 5;0003;500539146;Seitenblech li.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0004;500539147;Seitenblech re.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0005;500539145;Vertikaler Traeger oben li..;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0006;500539143;Vertikaler Traeger oben re.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0007;500539144;Vertikaler Traeger li.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0008;500539142;Vertikaler Traeger re.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0009;500539141;Rippe Brustgurt li;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0010;500539140;Rippe Brustgurt re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0011;500552799;Gurtöse;        8;ST;;86;88;SP;001;PD;F;ROH;S4BS;71429;W05;
 5;0431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    1,182;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    4,150;M;1;86;88;SP;001;PD;F;KBEI;S4BS;74771;W90;X
 5;0442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,088;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0443;500439259;Kehlnaht z4 EN15085-3 CPC2 G199L;    0,190;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 5;0462;500440391;V-Naht 4 EN15085-3 CPC2 G199L;    0,830;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 5;0518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    3,078;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 5;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    1,984;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 5;0545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,283;M;1;86;88;SP;001;PD;F;KBEI;S4BS;74771;W90;X
 5;0553;500429309;Lochnaht 5 EN15085-3 CPC2 G199L;       16;ST;;86;88;SP;001;PD;F;KBEI;S4BS;71429;;X
 5;0568;500443979;Dreiblechnaht 4 EN15085-3 CPC2 G199L;    0,488;M;1;86;88;SP;001;PD;F;KBEI;S4BS;74771;;X
 4;0001;500533404;Quertraeger UB CM1 kpl.;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 5;0001;500541004;Quertraeger Wagenkasten CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0002;500541005;Flanschplatte unten;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;1219;500437706;Kehlnaht a4 EN15085-3 CPC2 G2293NL;    1,387;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;;X
 5;1266;500438151;HV-Naht 5 EN15085-3 CPC2 G2293NL;    0,196;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;W90;X
 5;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    1,387;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;W90;X
 5;1335;500441489;Gegenlage EN15085-3 CPC2 G2293NL;    0,196;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;W90;X
 4;0002;500533402;Aeusserer Laengstraeger CM1 Li;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 5;0001;500541006;Aesserer Langtraeger CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0002;500541007;Rippe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,190;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,060;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 4;0003;500541043;Laengstraeger 2 Li CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0004;500541041;Laengstraeger 1 Li CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0005;500541908;Traeger Klebeauflage CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0006;500541042;Laengstraeger 1 Re CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0007;500541024;Laengstraeger 2 Re CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0008;500540962;Einstiegstraeger CM1 KPL;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 5;0001;500540963;Untergurt Einstieg CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0002;500541003;Langträger CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0003;500540969;Anschlussblech Li;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0004;500541000;Anschlussblech re.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0005;500540966;Anschlussblech;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0006;500540965;Anschlussblech;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0007;500541001;Querrippe li.;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0008;500541002;Querrippe Re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0009;500540968;Rippe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0010;500540964;Eckblech;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0011;500540967;Deckblech;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 5;0431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,190;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,900;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    1,539;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71404;W90;X
 5;0443;500439259;Kehlnaht z4 EN15085-3 CPC2 G199L;    0,130;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,928;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,190;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,190;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,387;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 5;0568;500443979;Dreiblechnaht 4 EN15085-3 CPC2 G199L;    0,140;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;;X
 4;0009;500541029;U-Profil 2;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0010;500541026;U-Profil 5;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0011;500541030;U-Profil 1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0012;500541031;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0013;500541312;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0014;500541313;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0015;500541027;U-Profil 4;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0016;500541025;U-Profil 6;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0017;500541028;U-Profil 3;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0018;500541311;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0019;500541033;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0020;500541037;Winkel Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0021;500541038;Winkel Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0022;500541039;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0023;500541036;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0024;500541034;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0025;500541040;Winkel Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0026;500541035;Winkel Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0027;500541032;Blech Klebeauflage;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0028;500541044;Rippe 1 Anhebestelle;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0029;500541045;Rippe 2 Anhebestelle;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0030;500543448;Rippe 3 Anhebestelle CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0031;500543449;Rippe 4 Anhebestelle CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0032;500437633;Schweissm.M16 DIN929-A4;        2;ST;;86;88;SP;001;PD;F;ROH;S4BS;71973;W09;X
 4;0381;500428238;Punktnaht für Schweißmutter EN15085-3;        2;ST;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;W90;X
 4;0431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    4,230;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,419;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    1,028;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 4;0451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    1,127;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,741;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0482;500440392;HV-Naht 5 EN15085-3 CPC2 G199L;    0,871;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;    1,963;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 4;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    1,250;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0540;500424323;HY-Naht 1,5 EN15085-3 CPC2 G199L;    2,202;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    1,608;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,372;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;1324;500434902;HY-Naht 2,5 EN15085-3 CPC2 G2293NL;    0,372;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0003;500541048;Verbindungslasche;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0004;500541049;Verbindungslasche;        2;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0005;500541047;Verbindungslasche;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 4;0006;500556466;Lasche Einstieg CM1;        2;ST;;86;88;SP;001;PD;F;ROH;S4BS;71973;W05;
 4;0007;500557125;Stuetzblech1 Klapprampe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;71973;W05;
 4;0008;500557126;Stuetzblech2 Klapprampe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;71973;W05;
 4;0009;500559177;Befestigungswinkel kpl.;        4;ST;1;86;15;SP;200;PD;E;HALB;S4BS;72132;B30;
 5;0001;500559178;Befestigungswinkel;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;72132;W05;
 5;0002;700027494;Schweissm.M8 DIN929-A2-70;        1;ST;;86;88;SP;001;ND;F;ROH;S4BS;72132;W09;X
 5;0381;500428238;Punktnaht für Schweißmutter EN15085-3;        1;ST;1;86;88;SP;001;PD;F;KBEI;S4BS;72132;W90;X
 4;0010;500559430;Auflage Auflaufplaettchen CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;72132;W05;
 4;0431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    1,919;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
 4;0432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,721;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71973;W90;X
 4;0441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,240;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72896;W90;X
